# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -1.18264E+00   9.47104E-01   2.90722E+00   5.38459E+00   9.84190E-35   5.19092-270  -4.12918E-03   5.17338E-03   0.00000E+00   0.00000E+00   9.99753E-02   1.01803E-02   3.94755E+01      1  1.50677E-03   7.88901E-03   0.00000E+00   0.00000E+00
 -1.20153E+00   9.59016E-01   2.93329E+00   5.35541E+00   9.84190E-35   5.19092-270  -4.10314E-03   5.24981E-03   0.00000E+00   0.00000E+00   1.00810E-01   1.03284E-02   3.99752E+01      1  1.54647E-03   8.00215E-03   0.00000E+00   0.00000E+00
 -1.22058E+00   9.71116E-01   2.95898E+00   5.32596E+00   9.84190E-35   5.19092-270  -4.07671E-03   5.32666E-03   0.00000E+00   0.00000E+00   1.01634E-01   1.04773E-02   4.04749E+01      1  1.58674E-03   8.11581E-03   0.00000E+00   0.00000E+00
 -1.23979E+00   9.83408E-01   2.98429E+00   5.29627E+00   9.84190E-35   5.19092-270  -4.04990E-03   5.40394E-03   0.00000E+00   0.00000E+00   1.02447E-01   1.06270E-02   4.09746E+01      1  1.62757E-03   8.22998E-03   0.00000E+00   0.00000E+00
 -1.25916E+00   9.95892E-01   3.00920E+00   5.26632E+00   9.84190E-35   5.19092-270  -4.02270E-03   5.48165E-03   0.00000E+00   0.00000E+00   1.03251E-01   1.07776E-02   4.14743E+01      1  1.66898E-03   8.34468E-03   0.00000E+00   0.00000E+00
 -1.27869E+00   1.00857E+00   3.03373E+00   5.23612E+00   9.84190E-35   5.19092-270  -3.99511E-03   5.55981E-03   0.00000E+00   0.00000E+00   1.04044E-01   1.09291E-02   4.19740E+01      1  1.71096E-03   8.45991E-03   0.00000E+00   0.00000E+00
 -1.29839E+00   1.02145E+00   3.05786E+00   5.20568E+00   9.84190E-35   5.19092-270  -3.96713E-03   5.63841E-03   0.00000E+00   0.00000E+00   1.04828E-01   1.10814E-02   4.24737E+01      1  1.75352E-03   8.57568E-03   0.00000E+00   0.00000E+00
 -1.31825E+00   1.03452E+00   3.08159E+00   5.17500E+00   9.84190E-35   5.19092-270  -3.93876E-03   5.71746E-03   0.00000E+00   0.00000E+00   1.05602E-01   1.12346E-02   4.29734E+01      1  1.79665E-03   8.69200E-03   0.00000E+00   0.00000E+00
 -1.33829E+00   1.04779E+00   3.10492E+00   5.14409E+00   9.84190E-35   5.19092-270  -3.90999E-03   5.79697E-03   0.00000E+00   0.00000E+00   1.06365E-01   1.13887E-02   4.34731E+01      1  1.84037E-03   8.80887E-03   0.00000E+00   0.00000E+00
 -1.35850E+00   1.06126E+00   3.12785E+00   5.11294E+00   9.84190E-35   5.19092-270  -3.88082E-03   5.87694E-03   0.00000E+00   0.00000E+00   1.07119E-01   1.15438E-02   4.39727E+01      1  1.88468E-03   8.92631E-03   0.00000E+00   0.00000E+00
 -1.37889E+00   1.07494E+00   3.15037E+00   5.08157E+00   9.84190E-35   5.19092-270  -3.85125E-03   5.95738E-03   0.00000E+00   0.00000E+00   1.07864E-01   1.16998E-02   4.44724E+01      1  1.92957E-03   9.04431E-03   0.00000E+00   0.00000E+00
